freq[Hz];re:Trc1_S11;im:Trc1_S11;
5.560280140070035E+009;-7.342889308929443E-001;-4.450436334622956E-001;
5.564282141070536E+009;-7.917382717132568E-001;-3.270184717962550E-001;
5.568284142071035E+009;-8.328028321266174E-001;-1.980148557598937E-001;
5.572286143071536E+009;-8.463771939277649E-001;-6.293267899106024E-002;
5.576288144072036E+009;-8.432800769805908E-001;7.013251915923402E-002;
5.580290145072537E+009;-8.122474551200867E-001;2.055760047040238E-001;
5.584292146073036E+009;-7.586051225662231E-001;3.348674984464659E-001;
5.588294147073537E+009;-6.861969232559204E-001;4.513972266223181E-001;
5.592296148074038E+009;-5.923730731010437E-001;5.560695687356274E-001;
5.596298149074537E+009;-4.847737848758698E-001;6.403149346638120E-001;
5.600300150075037E+009;-3.649418056011200E-001;7.078180821923026E-001;
5.604302151075538E+009;-2.320204526185989E-001;7.511926396944637E-001;
5.608304152076038E+009;-9.757496416568756E-002;7.750063916158310E-001;
5.612306153076538E+009;3.638286516070366E-002;7.770488281762202E-001;
5.616308154077039E+009;1.717569530010223E-001;7.523285155435179E-001;
5.620310155077539E+009;2.995825707912445E-001;7.132304435418958E-001;
5.624312156078039E+009;4.127388894557953E-001;6.539364017296254E-001;
5.628314157078539E+009;5.196027159690857E-001;5.759446292852655E-001;
5.632316158079040E+009;6.095576286315918E-001;4.899898845199202E-001;
5.636318159079540E+009;6.889850497245789E-001;3.862478924771696E-001;
5.640320160080040E+009;7.432659268379211E-001;2.726042907232457E-001;
5.644322161080541E+009;7.913041710853577E-001;1.572439588521968E-001;
5.648324162081040E+009;8.146730065345764E-001;3.566691962706556E-002;
5.652326163081541E+009;8.208310604095459E-001;-9.065642693980457E-002;
5.656328164082041E+009;8.073101043701172E-001;-2.124508894833090E-001;
5.660330165082542E+009;7.761062383651733E-001;-3.316623572800401E-001;
5.664332166083041E+009;7.283163070678711E-001;-4.430428775323620E-001;
5.668334167083542E+009;6.633014678955078E-001;-5.482720069516301E-001;
5.672336168084042E+009;5.851122140884399E-001;-6.374590898029037E-001;
5.676338169084542E+009;4.952719807624817E-001;-7.225727223518419E-001;
5.680340170085043E+009;3.910740613937378E-001;-7.849473895784789E-001;
5.684342171085543E+009;2.794966697692871E-001;-8.297483572585440E-001;
5.688344172086043E+009;1.580620408058167E-001;-8.618738480859447E-001;
